"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 1983","121.38","121.38","121.38","121.38","-","-0.16%"
"May 04, 1983","121.57","121.57","121.57","121.57","-","-0.34%"
"May 03, 1983","121.98","121.98","121.98","121.98","-","-0.05%"
"May 02, 1983","122.04","122.04","122.04","122.04","-","-0.29%"
"Apr 29, 1983","122.39","122.39","122.39","122.39","-","0.07%"
"Apr 28, 1983","122.31","122.31","122.31","122.31","-","0.57%"
"Apr 27, 1983","121.62","121.62","121.62","121.62","-","-0.12%"
"Apr 26, 1983","121.77","121.77","121.77","121.77","-","0.21%"
"Apr 25, 1983","121.51","121.51","121.51","121.51","-","-0.31%"
"Apr 22, 1983","121.89","121.89","121.89","121.89","-","-0.14%"
"Apr 21, 1983","122.06","122.06","122.06","122.06","-","-0.30%"
"Apr 20, 1983","122.43","122.43","122.43","122.43","-","0.36%"
"Apr 19, 1983","121.99","121.99","121.99","121.99","-","-0.16%"
"Apr 18, 1983","122.19","122.19","122.19","122.19","-","0.49%"
"Apr 15, 1983","121.59","121.59","121.59","121.59","-","-0.23%"
"Apr 14, 1983","121.87","121.87","121.87","121.87","-","-0.05%"
"Apr 13, 1983","121.93","121.93","121.93","121.93","-","0.49%"
"Apr 12, 1983","121.33","121.33","121.33","121.33","-","-0.07%"
"Apr 11, 1983","121.42","121.42","121.42","121.42","-","-0.39%"
"Apr 08, 1983","121.89","121.89","121.89","121.89","-","0.32%"
"Apr 07, 1983","121.50","121.50","121.50","121.50","-","0.30%"
"Apr 06, 1983","121.14","121.14","121.14","121.14","-","-0.30%"
"Apr 05, 1983","121.50","121.50","121.50","121.50","-","-0.27%"
"Apr 04, 1983","121.83","121.83","121.83","121.83","-","-0.36%"
"Apr 01, 1983","122.27","122.27","122.27","122.27","-","0.05%"
"Mar 31, 1983","122.21","122.21","122.21","122.21","-","-0.08%"
"Mar 30, 1983","122.31","122.31","122.31","122.31","-","-0.22%"
"Mar 29, 1983","122.58","122.58","122.58","122.58","-","-0.06%"
"Mar 28, 1983","122.65","122.65","122.65","122.65","-","0.72%"
"Mar 25, 1983","121.77","121.77","121.77","121.77","-","-0.11%"
"Mar 24, 1983","121.91","121.91","121.91","121.91","-","-0.18%"
"Mar 23, 1983","122.13","122.13","122.13","122.13","-","0.34%"
"Mar 22, 1983","121.72","121.72","121.72","121.72","-","-0.13%"
"Mar 21, 1983","121.88","121.88","121.88","121.88","-","1.19%"
"Mar 18, 1983","120.45","120.45","120.45","120.45","-","0.43%"
"Mar 17, 1983","119.94","119.94","119.94","119.94","-","0.58%"
"Mar 16, 1983","119.25","119.25","119.25","119.25","-","0.15%"
"Mar 15, 1983","119.07","119.07","119.07","119.07","-","0.08%"
"Mar 14, 1983","118.97","118.97","118.97","118.97","-","-1.08%"
"Mar 11, 1983","120.27","120.27","120.27","120.27","-","0.30%"
"Mar 10, 1983","119.91","119.91","119.91","119.91","-","-0.20%"
"Mar 09, 1983","120.15","120.15","120.15","120.15","-","0.09%"
"Mar 08, 1983","120.04","120.04","120.04","120.04","-","0.81%"
"Mar 07, 1983","119.08","119.08","119.08","119.08","-","-0.23%"
"Mar 04, 1983","119.35","119.35","119.35","119.35","-","-0.53%"
"Mar 03, 1983","119.98","119.98","119.98","119.98","-","-0.27%"
"Mar 02, 1983","120.30","120.30","120.30","120.30","-","-0.41%"
"Mar 01, 1983","120.79","120.79","120.79","120.79","-","0.37%"
"Feb 28, 1983","120.35","120.35","120.35","120.35","-","0.75%"
"Feb 25, 1983","119.45","119.45","119.45","119.45","-","0.25%"
"Feb 24, 1983","119.15","119.15","119.15","119.15","-","-0.31%"
"Feb 23, 1983","119.52","119.52","119.52","119.52","-","0.28%"
"Feb 22, 1983","119.19","119.19","119.19","119.19","-","0.56%"
"Feb 18, 1983","118.53","118.53","118.53","118.53","-","0.06%"
"Feb 17, 1983","118.46","118.46","118.46","118.46","-","0.37%"
"Feb 16, 1983","118.02","118.02","118.02","118.02","-","-0.70%"
"Feb 15, 1983","118.85","118.85","118.85","118.85","-","-0.20%"
"Feb 14, 1983","119.09","119.09","119.09","119.09","-","0.20%"
"Feb 11, 1983","118.85","118.85","118.85","118.85","-","-0.12%"
"Feb 10, 1983","118.99","118.99","118.99","118.99","-","-0.61%"
"Feb 09, 1983","119.72","119.72","119.72","119.72","-","-0.35%"
"Feb 08, 1983","120.14","120.14","120.14","120.14","-","-0.20%"
"Feb 07, 1983","120.38","120.38","120.38","120.38","-","-0.86%"
"Feb 04, 1983","121.42","121.42","121.42","121.42","-","0.31%"
"Feb 03, 1983","121.05","121.05","121.05","121.05","-","-1.01%"
"Feb 02, 1983","122.28","122.28","122.28","122.28","-","1.07%"
"Feb 01, 1983","120.99","120.99","120.99","120.99","-","-0.11%"
"Jan 31, 1983","121.12","121.12","121.12","121.12","-","1.14%"
